Barcode,District Name,Name,Party,Candidate Name,Ac_No,Voter Survey Type,Gender,Religion,Qualification,Occupation,Annual Family Income,Age,Did U Vote In The Last Election?,If No Why,If Yes Did The Candidate Your Voted For In The Last Election,The Candidate,Candidates Party,Candidates Caste,IMP: Easier access to drinking water,IMP: Free Electricity,IMP: Free/Subsidized Loans,IMP: Support for Economically-weaker Sections,IMP: Irrigation Programs,IMP: Jobs through rural employment schemes,IMP: Lower rice/wheat prices,IMP: More schools,IMP: More teachers,IMP: School Facilities,IMP: Subsidy for seeds/fertilizers,IMP: Accessibility of MLA/MP,IMP: Better Law and Order/Policing,IMP: Better Public Transport,IMP: Better Roads,IMP: Eradication of Corruption,IMP: More Hospitals/Primary Health Care Centers,IMP: Trustworthiness of MLA,IMP: Security for Women,IMP: Better Electric Supply,IMP: Better Employment Opportunities,IMP: Better Garbage Clearance,IMP: Reservation for Jobs and Education,IMP: Subsidized Food Distribution,IMP: Training for Jobs,PERF: Others,PERF: Easier access to drinking water,PERF: Free Electricity,PERF: Free/Subsidized Loans,PERF: Support for Economically-weaker Sections,PERF: Irrigation Programs,PERF: Jobs through rural employment schemes,PERF: Lower rice/wheat prices,PERF: More schools,PERF: More teachers,PERF: School Facilities,PERF: Subsidy for seeds/fertilizers,PERF: Accessibility of MLA/MP,PERF: Better Law and Order/Policing,PERF: Better Public Transport,PERF: Better Roads,PERF: Eradication of Corruption,PERF: More Hospitals/Primary Health Care Centers,PERF: Trustworthiness of MLA,PERF: Security for Women,PERF: Better Electric Supply,PERF: Better Employment Opportunities,PERF: Better Garbage Clearance,PERF: Reservation for Jobs and Education,PERF: Subsidized Food Distribution,PERF: Training for Jobs,PERF: Others
135007,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,MUSLIM,Above Degree,Private,"10,000 to 25,000",28,Voted,,N,I,VI,NI,M-H,H,M,H,M,M,M,H,H,H,M,M,H,M-H,H,M,H,M,,,,,,,,,A,A,A,G,B,A,A,B-G,G,G,A,A,G,G,G,A,G,A,,,,,,,,
135008,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,High School,Others,"Under 10,000",48,Voted,,Y,VI,NI,NI,H,M,M-H,H,H,H,M,H,M-H,H,M,M-H,H,H,H,M-H,H,M-H,M,,M,,M,,,,G,A,G,G,G,G,A,G,G,G,A,G,G,G,G,A,G,G,,,,,,,,
135009,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Female,HINDU,Degree,Govt,"1,00,001 to 2,50,000",41,Voted,,N,I,I,NI,M,,M,,,,,,,,,M,M,H,H,M,H,M,H,H,M,H,M,H,M,M,,,,,,,,,,,,A,A,G,G,A,G,A,G,G,A,G,A,G,B,A
135010,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,HINDU,No Education,Others,"Under 10,000",53,Did not vote,3,,NI,VI,I,H,M,M,H,H,M,H,H,M,M,M,H,H,H,M,L,H,M,M,,M,,,,M,,G,A,A,G,G,A,A,G,B,A,A,G,A,G,A,B,G,A,,,,,,,,
135011,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,MUSLIM,PUC,Private,"Under 10,000",30,Voted,,Y,VI,I,I,H,H,M,H,H,M,M,H,H,H,M,H,H,H,H,M,H,H,,,,,,,,,G,G,A,G,G,A,A,,G,G,A,G,G,A,A,A,G,G,,,,,,,,
135012,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,CHRISTIAN,Degree,Others,"10,000 to 25,000",25,Voted,,N,VI,I,NI,M,M,L,H,M,H,M,H,H,H,M,M-H,H,M,H,M,H,H,,,,,,,,,A,A,A,G,A,G,A,G,G,G,A,G,G,A,A,,G,A,,,,,,,,
135013,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,HINDU,PUC,Others,"Under 10,000",19,Did not vote,2,,VI,NI,NI,H,L,M,M,M-H,M,L,H,H,H,M,M-H,H,H,M,L,H,M,,,M,,,,,,G,B,A,A,G,B,B,G,G,G,A,G,G,G,B,B,G,A,,,,,,,,
135014,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,HINDU,Above Degree,Govt,"1,00,001 to 2,50,000",25,Voted,,Y,VI,VI,NI,M,,M,,M,,,,M,,,M-H,H,H,H,M,H,M,H,H,M,H,H,H,M,H,,,,,,B,,,,,,G,G,G,G,A,G,A,A,G,A,G,G,G,A,A
135015,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Female,HINDU,High School,Others,"10,000 to 25,000",49,Voted,,N,NI,I,I,,,M,,,,,,,,,M,H,H,M,M,H,M,H,H,M,H,M-H,H,L,M,,,,,,,,,,,,A,G,A,A,A,A,A,G,G,B,G,A,G,B,A
135016,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,MUSLIM,High School,Business,"1,00,001 to 2,50,000",44,Voted,,Y,VI,I,I,M-H,H,M,H,M-H,M,H,H,M-H,H,M,M-H,H,H,H,M,H,M-H,,,,,,,,,G,A,A,G,G,A,A,G,G,G,A,G,G,A,G,A,A,G,,,,,,,,
135017,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,HINDU,Degree,Others,"50,001 to 1,00,000",29,Voted,,Y,VI,NI,NI,M-H,H,M,H,H,M,H,H,H,H,M,H,H,H,M,M,H,H,,,,,M,,M,,G,A,A,G,G,A,A,G,G,G,A,G,G,G,A,A,A,G,,,,,,,,
135018,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,OTHERS,Degree,Govt,56,50,Voted,,Y,VI,NI,NIVI,M,,M,M,M,,M,,M,,,M-H,H,H,H,M,H,H,M-H,H,M,H,M,H,M,H,,B-G,,,,G,,,,,,G,G,G,A,A,G,G,G,B-G,A,G,A,B-G,B,G
135019,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,HINDU,Primary,Private,"10,000 to 25,000",33,Voted,,Y,NI,VI,I,,,M,M,M,,M,,M,M,M,H,H,H,M,M,H,M-H,M-H,M-H,M-H,H,M,H,L,M,,B,,B,,,,B,,,,G,G,A,B,B,G,A,A,B-G,A,G,G,G,B,A
135020,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,HINDU,No Education,Agriculture,"50,001 to 1,00,000",38,Voted,,N,NI,VI,I,M-H,H,M,H,M-H,M,M,H,H,M,M,H,H,M,H,M,H,M-H,,,M,,M,,,,A,B-G,A,G,G,B,B,B-G,G,G,B,G,B-A,A,B,B,B-G,A,,,,,,,,
135021,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Female,MUSLIM,Degree,Others,"10,000 to 25,000",20,Did not vote,2,,VI,I,NI,M,,,,M,,M,,M,,M,H,H,H,H,H,H,M-H,H,H,M-H,H,M-H,H,H,H,,,,,,,,,,,,G,A,G,G,A,G,A,G,A,A,B-G,A,G,G,G
135022,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,Primary,Agriculture,45,39,Voted,,Y,VI,NI,I,M,H,L-M,H,H,M,M,H,H,H,M,M-H,H,H,M,M-H,H,M-H,M,,,,M,M,M,,A,B-A,B,B-G,G,B,G,G,G,B-G,A,G,B-G,A,A,A,B-G,G,,,,,,,,
135023,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,MUSLIM,Above Degree,Business,"1,00,001 to 2,50,000",25,Voted,,Y,VI,I,I,M,,M,,M,,M,,M,,,H,H,M,H,M,H,H,H,H,M,H,M,H,L,H,,B,,,,,,,,,,G,A,A,A,A,G,G,G,G,A,A,A,G,B,G
135024,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,MUSLIM,PUC,Others,"10,000 to 25,000",19,Did not vote,2,,VI,I,I,M,,M,,M,,M,,M,,,M,H,H,M,M,H,M-H,M-H,H,L-M,H,M,H,M,H,,B-G,,,,,,,,,,B,A,G,A,B,G,G,G,G,B,A,A,G,A,G
135025,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,PUC,Defence,"1,00,001 to 2,50,000",39,Voted,,N,I,VI,I,M,H,M,M,H,M,M,H,H,H,M,H,M,H,M,M,H,H,M,,,,M,,M,,A,G,A,A,G,B,A,G,G,G,A,G,A,A,B,B,A,G,,,,,,,,
135026,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,MUSLIM,Primary,Others,28,30,Voted,,Y,VI,I,NI,M,H,M-H,H,M-H,M,M,H,H,H,M,H,H,M,H,M,H,M,M,,,,,,,,A,G,A,G,G,A,B,,,G,A,G,A,G,G,B,G,A,,,,,,,,
135027,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,Degree,Others,"1,00,001 to 2,50,000",22,Did not vote,2,,VI,I,NI,M,H,M,H,H,M,M,H,H,H,M,M,H,M-H,M,M,H,M,,,M,,M,,,,A,A,B,G,A,G,B,G,G,G,G,A,G,G,B,A,G,A,,,,,,,,
135028,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,HINDU,No Education,Others,18,62,Voted,,N,VI,NI,NI,M-H,H,M,H,M-H,H,M,H,H,H,M,H,H,M,M,M,H,M,,,M,,M,,,,A,B,B,G,G,A,A,A,A,A,A,G,A,A,B,B,A,A,,,,,,,,
135029,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,HINDU,Degree,Govt,"1,00,001 to 2,50,000",21,Did not vote,2,,VI,I,I,,,,,M,,,,,,,H,H,H,M,M,H,M,H,M,M,H,M,H,M,M,,,,,,,,,,,,G,A,G,A,B,G,A,G,A,A,G,A,G,B,A
135030,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,HINDU,Above Degree,Others,"50,001 to 1,00,000",29,Voted,,Y,VI,NI,NI,M,M,H,H,H,M,M,H,H,H,M,M,H,M,M,M,H,M,,,M,,,,,,A,A,A,G,G,G,A,G,G,G,A,A,G,A,B,B,G,A,,,,,,,,
135031,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,OTHERS,Primary,Others,"10,000 to 25,000",55,Voted,,N,NI,VI,I,M-H,M,,H,H,M,M,H,H,H,M,H,H,M-H,H,M,H,M,,,M,M,M,,,,A,A,A,G,G,B,B,G,G,G,B,A,A,G,A,A,G,A,,,,,,,,
135032,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,No Education,Agriculture,"50,001 to 1,00,000",65,Voted,,Y,VI,I,I,M,M,M,H,M,H,L-M,H,H,H,M,M-H,H,M,M,M,H,H,,,M,,,,,,A,B,G,A,A,G,B,G,G,G,A,G,G,A,A,B,G,A,,,,,,,,
135033,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,PUC,Business,"50,001 to 1,00,000",38,Voted,,N,I,VI,I,M,H,M,H,M,L,M,H,H,H,M,M,H,M-H,H,L,H,M,,,,,,,,,A,B,B,A,B,B,B,A,G,A,A,A,G,G,A,B,G,A,,,,,,,,
135034,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,MUSLIM,Degree,Medical,"50,001 to 1,00,000",26,Did not vote,3,,I,I,I,M,L,L-M,M,H,M,M,H,H,H,M,H,H,H,M,L-M,H,M,,,,,,,,,A,B,B,G,A,A,B,G,G,G,A,A,A,G,B,B,G,A,,,,,,,,
135035,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Female,HINDU,High School,Others,"10,000 to 25,000",51,Voted,,Y,VI,I,NI,M,,,,M,,M,,,,M,H,H,M,H,L,H,M,H,M,M,H,M,H,M,H,,,,,,,,,,,,G,G,A,G,B,G,A,G,A,A,G,A,G,B,G
135036,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,OTHERS,PUC,Private,"10,000 to 25,000",30,Voted,,Y,VI,NI,NI,M,,,,M,,M,,M,,M,H,H,M,M,L,H,M,H,M,M,H,M,H,M,H,,,,,,,,,,,,G,G,A,A,B,G,A,G,A,A,G,A,G,A,G
135037,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,MUSLIM,PUC,Others,"Under 10,000",19,Did not vote,2,,VI,I,I,,,M,,,,,,,,,M,H,H,H,H,H,M,H,M,M,H,M,H,M,H,,,,,,,,,,,,A,G,G,A,A,G,A,G,A,B,G,A,G,B,G
135038,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,OTHERS,PUC,Private,"10,000 to 25,000",41,Voted,,Y,VI,I,I,H,M,L-M,H,H,M,M,H,H,H,M,H,H,H,M,L-M,H,M,M,,,,M,,,,A,B,B,G,G,A,A,G,G,G,A,G,A,G,B-A,B,G,A,,,,,,,,
135039,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,CHRISTIAN,PUC,Business,"10,000 to 25,000",54,Voted,,N,VI,I,NI,H,L,M,H,M-H,M,M,M,M,M,M,M,M,M-H,H,L-M,H,M,,,M,,M,,M,,A,B,A,G,G,A,A,A,A,A,B,A,G,G,A,B,A,A,,,,,,,,
135040,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,PUC,Private,"Under 10,000",31,Voted,,Y,VI,NI,NI,M-H,L,M,H,M-H,M,M,H,M-H,H,M,H,H,M-H,M,L-M,H,M,,,M,,M,,M,,G,B,A,G,G,A,B,A,G,A,A,G,G,G,A,B,G,A,,,,,,,,
135041,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,OTHERS,Degree,Engineering,"1,00,001 to 2,50,000",37,Voted,,Y,VI,I,I,M,M,L,H,M-H,M,M,H,H,H,M,H,M,M-H,H,M,H,M,,,M,,,,,,A,B,B,G,G,A,B,G,G,G,A,G,A,A,A,B,G,A,,,,,,,,
135042,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,HINDU,High School,Others,"10,000 to 25,000",39,Voted,,N,VI,NI,NI,,,M,,,,,,,,,M,H,H,M,L,H,M,H,M,M,H,M,M,M,M,,,,,,,,,,,,A,G,G,A,B,G,A,A,A,A,G,B,A,B,A
135043,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,HINDU,Primary,Agriculture,"10,000 to 25,000",40,Voted,,Y,VI,I,NI,H,M,M,H,M-H,M,M,H,M-H,H,M,M-H,H,M-H,H,M,H,M-H,M,,M,,M,,,,A,A,B,G,G,A,A,G,G,G,A,G,G,G,A,B,G,G,,,,,,,,
135044,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Female,HINDU,PUC,Others,"Under 10,000",18,Did not vote,2,,VI,I,NI,,,M,,M,,,,,,M,M-H,H,M-H,M,L-M,H,M,M-H,M,M,H,M,H,M,H,,,,,,,,,,,,G,A,G,A,B,G,A,G,A,A,G,A,G,A,G
135045,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,PUC,Others,"50,001 to 1,00,000",58,Voted,,Y,VI,I,I,H,M,L,H,H,M,M,H,H,H,M,H,H,H,H,M,H,M,,,,,,,,,A,B,B,G,G,B,B,G,G,G,A,G,G,G,A,A,G,A,,,,,,,,
135046,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,HINDU,No Education,Agriculture,"25,001 to 50,000",71,Voted,,Y,VI,I,I,M,M,M,H,M,H,M,H,H,H,M,H,H,H,M,M,H,M,,,M,M,,,M,,A,A,A,G,B,A,B,G,G,G,A,G,A,G,A,B,G,A,,,,,,,,
135047,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Female,MUSLIM,PUC,Others,"25,001 to 50,000",49,Voted,,N,NI,I,NI,M,M,L,H,M,M,M,M-H,H,H,M,M,H,M-H,M,M,H,M,M,,M,,M,,,,A,B,A,A,B,B,A,G,G,G,A,A,G,G,A,B,G,A,,,,,,,,
135048,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,RURAL,Male,CHRISTIAN,Degree,Others,"10,000 to 25,000",22,Did not vote,2,,VI,NI,NI,M-H,M,M,H,M-H,M,M,H,M-H,H,M-H,H,H,H,H,H,H,H,,,,,,,,,A,A,A,B-G,A,A,A,G,G,G,A,A,G,A,A,A,G,A,,,,,,,,
135049,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Female,HINDU,Above Degree,Engineering,"50,001 to 1,00,000",30,Voted,,Y,VI,NI,NI,M,,M,,,,M,,M,,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,,,,,,,,,,,A,G,G,A,A,G,G,G,G,A,G,A,A,A,G
135050,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,URBAN,Male,MUSLIM,Degree,Others,"10,000 to 25,000",29,Voted,,N,VI,I,NI,,,M,,M,,,,M,,,M,H,H,H,H,H,M,M-H,H,M-H,H,M,H,M,H,,,,,,,,,,,,A,G,G,A,A,G,A,G,A,A,G,A,G,A,G
135051,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,,,,,,,,,,,,,,,M,,,M,,M,,M,,M,M,,,M,M,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135052,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,,,,,,,,,,,,,,,,M,,,,M,,,,,,,,,M,,M,M,,M,,,,,,,,,,,,,,,,,,,,B-G,,,,,,,,,,,
135053,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,,,,,,,,,,,,,,,,,,M,,M,,M,,M,M,,,,M,,M,M,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135054,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135055,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,,,,,,,,,,,,,,,,M,,M,,,,M,,,,,M,,,,,,,,,M,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,
135056,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,,,,,,,,,,,,,,,,M,,,,,,,,,M,,,,M,,,M,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135057,TUMKUR,Gubbi,JD(S),S.R.SRINIVAS [ VASU ],135,,,,,,,,,,,,,,M,,,,M,,M,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136003,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,HINDU,No Education,Others,"10,000 to 25,000",40,Voted,,Y,I,,,,,M,,M,,M,,M,,,M,H,L-M,L,M,M,M,L-M,M,L-M,M,,M,M,L,,,,,,,,,,,,A,G,A,B,A,A,A,A,A,A,A,A,A,A,A
136004,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,HINDU,Degree,Private,"25,001 to 50,000",28,Did not vote,3,,,,,M,,,,,,M,,,,,M,H,M,L,M,H,M,H,M,M,M,L,H,M,L,,,,,,,,,,,,A,G,A,A,A,G,A,G,A,B,G,A,A,A,A
136005,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Female,HINDU,Primary,Others,"10,000 to 25,000",55,Voted,,Y,I,NI,NI,M,,,,M,,,,,,M,L,M,M,M,L-M,M,L-M,M,M,M,H,M,M,M,L,,,,,,,,,,,,A,A,A,A,B,A,A,A,A,A,G,A,A,B,B
136006,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Female,HINDU,No Education,Others,"Under 10,000",35,Did not vote,3,,,,,M,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,,,,,,,,,,,,A,A,A,B,B,A,A,A,A,A,A,A,,A,
136007,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Female,HINDU,High School,Others,"Under 10,000",35,Voted,,Y,,,VI,,,,,,,,,,,,M,L,M,M,M,H,M,L,M,M,L,M,M,M,M,,,,,,,,,,,,A,A,A,A,A,G,A,A,A,A,A,A,A,A,A
136008,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,MUSLIM,High School,Others,"10,000 to 25,000",50,Voted,,Y,,VI,,M,,,,M,,,,M,,,M,M,M,M,L,H,L,M,M,M,M,M,M,M,M,,,,,,,,,,,,A,A,A,A,A,G,A,A,B,A,A,A,A,A,A
136009,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,HINDU,PUC,Business,"25,001 to 50,000",32,Voted,,Y,I,I,NI,M,,,,M,,M,,M,,M,M,M,M-H,M,M,H,M,M,M,L-M,M,L-M,M,L,M,,,,,,,,,,,,A,G,G,A,A,G,A,A,A,B,A,B,A,A,A
136010,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Female,MUSLIM,Primary,Private,"10,000 to 25,000",54,Voted,,N,VI,I,NI,M,,,,M,,M,,,,,L,M,H,M,M,M,L-M,M,M,L-M,L,M,L,L,L,,,,,,,,,,,,A,A,G,A,B,A,B,A,B,A,A,B,A,B,B
136012,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Female,MUSLIM,High School,Others,"Under 10,000",38,Voted,,Y,,I,,,,,,,,,,M,,,L-M,H,H,H,M,H,L,H,M,M,M,M,M,M,L,,,,,,,,,,,,A,G,G,G,A,G,B,G,A,A,A,A,A,A,A
136013,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,RURAL,Male,HINDU,Primary,Agriculture,"Under 10,000",64,Voted,,N,I,I,NI,M,L,M,L,M-H,M,M,M,M,M,L-M,M,H,M-H,H,H,M,M,,,,,M,,,,G,A,A,A,G,A,B,A,A,A,G,A,,G,G,G,G,A,,,,,,,,
136015,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Female,MUSLIM,PUC,Agriculture,"10,000 to 25,000",22,Voted,,Y,NI,I,NI,,,M,,,,,,,,,M,M,M,L,M,M,M,H,M,M,L,M,M,M,L,,,,,,,,,,,,G,A,A,B,A,A,A,G,A,A,B,B,A,A,A
136017,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,HINDU,PUC,Business,"10,000 to 25,000",41,Voted,,N,I,I,NI,,,M,M,M,,,,,,,M,M,M-H,M,L,M,M,M,M,L,M,L-M,M,M,L,,,,,,,,,,,,A,B,A,A,B,G,A,A,B,A,,A,A,B,
136018,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,HINDU,Primary,Business,"10,000 to 25,000",42,Voted,,Y,,I,,M,,,,M,,,,M,,,M,H,M,L,M,H,L,M,M,,M,L,M,L,L,,,,,,,,,,,,A,G,A,B,A,A,A,A,A,A,A,A,A,B,B
136019,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,MUSLIM,Degree,Govt,"50,001 to 1,00,000",44,Voted,,Y,NI,I,NI,,,,,,,,,,,M,M,M,M,L,M,M,M,M-H,L,L-M,M,M,L,M,L-M,,,,,,,,,,,,A,G,A,B,A,A,A,G,A,B,B,A,B,A,B
136020,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,,MUSLIM,PUC,Others,"10,000 to 25,000",35,Voted,,N,,,,M,,,,M,,M,,M,,M,M,H,M,L,L-M,H,L-M,M,L,M,L,L-M,L,M,,,,,,,,,,,,,,A-G,A,B,A,A,A,A,A,A,A,A,A,A,A
136021,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,,HINDU,High School,Business,"10,000 to 25,000",45,Voted,,,I,,,M,,M,,,,M,,M,,,M-H,H,H,M,L-M,H,M,M,M,M,M,M,M,M,L,,,,,,,,,,,,,G,A,A,A,G,A,A,A,A,A,A,A,A,A
136022,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,HINDU,High School,Others,"10,000 to 25,000",50,Voted,,Y,,I,,,,M,,,,,,,,,M,H,M,M,L,H,M,L,M,M,M,H,M,M,L,,,,,,,,,,,,,G,,A,A,A,A,A,A,A,A,A,A,A,A
136023,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Male,MUSLIM,Primary,Others,"10,000 to 25,000",55,Voted,,Y,,I,,,,M,,,,,,,,,M,H,M,L,L,H,M,M,M,,L,M,M,M,L,,,,,,,,,,,,A,G,A,B,A,A,A,A,A,A,A,A,A,A,A
136024,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,URBAN,Female,MUSLIM,PUC,Others,"Under 10,000",25,Voted,,Y,,I,,,,,,,,,,,,M,M,H,M,M,L,H,M,M,L,M,M,M,M,M,L,,,,,,,,,,,,A,A,A,A,A,A-G,A,A,B,A,A,A,G,G,A
136025,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,RURAL,Male,MUSLIM,High School,Business,"Under 10,000",77,Voted,,Y,NI,VI,I,M,M,L,M,M,H,H,M,M,M,L-M,M,H,M-H,M,M,M,M-H,M,,M,,M,,,,A,A,B,B-A,G,A,G,A,A,A,B,A,G,G,A,A,A,A,,,,,,,,
136026,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,RURAL,Male,HINDU,Primary,Agriculture,"10,000 to 25,000",33,Voted,,N,NI,I,NI,M,M,M,L,H,L,,M,M,H,M,M,M,M-H,H,M,M,M-H,,,M,,M,,M,,A,A,A,B,G,A,A,A,A,G,A,A,A,G,G,A,A,G,,,,,,,,
136027,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,RURAL,Male,MUSLIM,High School,Business,"10,000 to 25,000",69,Voted,,Y,I,VI,NI,M,M,M,L,L,M,M,M,M,M,M,M,H,M,M,M,H,M,,,M,,M,,,,A,A,A,,B,A,A,A,A,A,A,A,G,A,A,A,G,A,,,,,,,,
136028,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,RURAL,Female,HINDU,No Education,Agriculture,"10,000 to 25,000",40,Voted,,Y,I,,,H,M,L,L,L-M,L,H,H,M-H,H,M,M,H,H,H,,H,M,M,,,M,M,,,,G,A,A,A,B,A,A,A,A,A,A,A,G,A,G,A,A,A,,,,,,,,
136029,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,RURAL,Female,HINDU,No Education,Agriculture,"10,000 to 25,000",50,Voted,,,VI,,,M-H,M,M,M,M,M,M-H,,H,H,M,M,H,M,M,M,M,M,,,M,,,,,,,A,A,G,A,A,A,G,,G,,A,G,A,A,A,A,A,,,,,,,,
136030,TUMKUR,Sira,INC,T.B.JAYACHANDRA,136,RURAL,Female,CHRISTIAN,Primary,Others,"10,000 to 25,000",33,Voted,,Y,,VI,,H,M,M,L,L,L,M,H,H,H,M,,H,M,M,M,H,M,,,,,,,,,G,A,A,A,B,A,A,A,A,G,A,G,G,A,B-A,A,G,A,,,,,,,,
